"queryId";"usesLiterals"
"0";"0"
"1";"1"
"2";"0"
"3";"1"
"4";"1"
"5";"0"
"6";"0"
"7";"1"
"8";"1"
"9";"1"
"10";"1"
"11";"1"
"12";"1"
"13";"1"
"14";"1"
"15";"0"
"16";"1"
"17";"1"
"18";"1"
"19";"1"
"20";"1"
"21";"1"
"22";"0"
"23";"1"
"24";"1"
"25";"0"
"26";"1"
"27";"0"
"28";"1"
"29";"1"
"30";"1"
"31";"1"
"32";"1"
"33";"1"
"34";"1"
"35";"1"
"36";"0"
"37";"1"
"38";"1"
"39";"1"
"40";"1"
"41";"1"
"42";"1"
"43";"0"
"44";"0"
"45";"0"
"46";"1"
"47";"1"
"48";"1"
"49";"1"
"50";"1"
"51";"1"
"52";"1"
"53";"1"
"54";"1"
"55";"1"
"56";"0"
"57";"1"
"58";"1"
"59";"0"
"60";"1"
"61";"1"
"62";"1"
"63";"0"
"64";"1"
"65";"0"
"66";"1"
"67";"1"
"68";"1"
"69";"1"
"70";"1"
"71";"0"
"72";"0"
"73";"1"
"74";"1"
"75";"1"
"76";"1"
"77";"0"
"78";"0"
"79";"1"
"80";"1"
"81";"1"
"82";"1"
"83";"1"
"84";"0"
"85";"1"
"86";"1"
"87";"1"
"88";"1"
"89";"1"
"90";"1"
"91";"0"
"92";"0"
"93";"0"
"94";"1"
"95";"1"
"96";"0"
"97";"1"
"98";"1"
"99";"1"
"100";"1"
"101";"1"
"102";"1"
"103";"1"
"104";"1"
"105";"1"
"106";"1"
"107";"1"
"108";"0"
"109";"1"
"110";"1"
"111";"1"
"112";"1"
"113";"1"
"114";"1"
"115";"0"
"116";"1"
"117";"1"
"118";"1"
"119";"0"
"120";"1"
"121";"0"
"122";"0"
"123";"1"
"124";"0"
"125";"1"
"126";"1"
"127";"0"
"128";"1"
"129";"0"
"130";"1"
"131";"1"
"132";"1"
"133";"1"
"134";"1"
"135";"1"
"136";"1"
"137";"1"
"138";"1"
"139";"1"
"140";"1"
"141";"1"
"142";"1"
"143";"1"
"144";"0"
"145";"1"
"146";"1"
"147";"1"
"148";"0"
"149";"1"
"150";"0"
"151";"0"
"152";"1"
"153";"0"
"154";"0"
"155";"1"
"156";"1"
"157";"1"
"158";"1"
"159";"1"
"160";"1"
"161";"1"
"162";"0"
"163";"1"
"164";"1"
"165";"1"
"166";"0"
"167";"0"
"168";"1"
"169";"1"
"170";"1"
"171";"1"
"172";"1"
"173";"0"
"174";"0"
"175";"1"
"176";"0"
"177";"1"
"178";"0"
"179";"1"
"180";"1"
"181";"1"
"182";"1"
"183";"1"
"184";"1"
"185";"1"
"186";"1"
"187";"0"
"188";"1"
"189";"1"
"190";"1"
"191";"1"
"192";"1"
"193";"1"
"194";"0"
"195";"1"
"196";"1"
"197";"0"
"198";"1"
"199";"0"
"200";"1"
"201";"1"
"202";"0"
"203";"0"
"204";"0"
"205";"1"
"206";"1"
"207";"0"
"208";"1"
"209";"1"
"210";"1"
"211";"1"
"212";"1"
"213";"1"
"214";"0"
"215";"0"
"216";"1"
"217";"1"
"218";"0"
"219";"0"
"220";"1"
"221";"1"
"222";"1"
"223";"1"
"224";"1"
"225";"1"
"226";"1"
"227";"0"
"228";"0"
"229";"1"
"230";"1"
"231";"0"
"232";"1"
"233";"1"
"234";"1"
"235";"1"
"236";"0"
"237";"1"
"238";"1"
"239";"1"
"240";"1"
"241";"1"
"242";"1"
"243";"1"
"244";"0"
"245";"1"
"246";"0"
"247";"0"
"248";"0"
"249";"0"
"250";"0"
"251";"0"
"252";"0"
"253";"1"
"254";"1"
"255";"1"
"256";"0"
"257";"1"
"258";"0"
"259";"1"
"260";"1"
"261";"1"
"262";"0"
"263";"1"
"264";"1"
"265";"0"
"266";"0"
"267";"1"
"268";"0"
"269";"0"
"270";"1"
"271";"0"
"272";"1"
"273";"1"
"274";"1"
"275";"1"
"276";"1"
"277";"0"
"278";"1"
"279";"1"
"280";"0"
"281";"1"
"282";"1"
"283";"1"
"284";"0"
"285";"0"
"286";"1"
"287";"1"
"288";"1"
"289";"0"
"290";"1"
"291";"1"
"292";"1"
"293";"1"
"294";"1"
"295";"0"
"296";"1"
"297";"1"
"298";"1"
"299";"1"
"300";"0"
"301";"0"
"302";"0"
"303";"1"
"304";"1"
"305";"1"
"306";"0"
"307";"1"
"308";"1"
"309";"1"
"310";"1"
"311";"0"
"312";"1"
"313";"1"
"314";"0"
"315";"1"
"316";"1"
"317";"1"
"318";"1"
"319";"1"
"320";"1"
"321";"1"
"322";"1"
"323";"1"
"324";"0"
"325";"1"
"326";"1"
"327";"1"
"328";"1"
"329";"1"
"330";"0"
"331";"0"
"332";"0"
"333";"1"
"334";"1"
"335";"1"
"336";"1"
"337";"0"
"338";"1"
"339";"1"
"340";"1"
"341";"0"
"342";"0"
"343";"1"
"344";"0"
"345";"1"
"346";"1"
"347";"0"
"348";"1"
"349";"1"
"350";"1"
"351";"1"
"352";"0"
"353";"1"
"354";"1"
"355";"1"
"356";"1"
"357";"1"
"358";"0"
"359";"1"
"360";"1"
"361";"0"
"362";"1"
"363";"0"
"364";"1"
"365";"1"
"366";"1"
"367";"0"
"368";"1"
"369";"1"
"370";"0"
"371";"1"
"372";"0"
"373";"1"
"374";"1"
"375";"0"
"376";"1"
"377";"1"
"378";"1"
"379";"1"
"380";"1"
"381";"0"
"382";"1"
"383";"1"
"384";"1"
"385";"1"
"386";"0"
"387";"1"
"388";"1"
"389";"1"
"390";"0"
"391";"1"
"392";"1"
"393";"1"
"394";"0"
"395";"0"
"396";"1"
"397";"1"
"398";"1"
"399";"1"
"400";"1"
"401";"0"
"402";"1"
"403";"0"
"404";"1"
"405";"0"
"406";"0"
"407";"0"
"408";"1"
"409";"1"
"410";"0"
"411";"1"
"412";"1"
"413";"0"
"414";"1"
"415";"0"
"416";"1"
"417";"1"
"418";"0"
"419";"0"
"420";"1"
"421";"0"
"422";"1"
"423";"1"
"424";"0"
"425";"1"
"426";"1"
"427";"1"
"428";"1"
"429";"0"
"430";"1"
"431";"0"
"432";"1"
"433";"0"
"434";"1"
"435";"0"
"436";"0"
"437";"1"
"438";"1"
"439";"1"
"440";"1"
"441";"1"
"442";"1"
"443";"0"
"444";"0"
"445";"1"
"446";"0"
"447";"0"
"448";"1"
"449";"0"
"450";"0"
"451";"1"
"452";"1"
"453";"1"
"454";"1"
"455";"1"
"456";"1"
"457";"0"
"458";"1"
"459";"0"
"460";"1"
"461";"1"
"462";"1"
"463";"1"
"464";"1"
"465";"0"
"466";"1"
"467";"1"
"468";"0"
"469";"1"
"470";"0"
"471";"1"
"472";"1"
"473";"1"
"474";"1"
"475";"1"
"476";"1"
"477";"1"
"478";"1"
"479";"0"
"480";"1"
"481";"1"
"482";"1"
"483";"1"
"484";"1"
"485";"0"
"486";"0"
"487";"1"
"488";"1"
"489";"0"
"490";"0"
"491";"1"
"492";"1"
"493";"1"
"494";"1"
"495";"0"
"496";"1"
"497";"1"
"498";"0"
"499";"1"
"500";"1"
"501";"1"
"502";"1"
"503";"1"
"504";"0"
"505";"1"
"506";"1"
"507";"1"
"508";"0"
"509";"1"
"510";"1"
"511";"1"
"512";"1"
"513";"1"
"514";"1"
"515";"0"
"516";"1"
"517";"0"
"518";"1"
"519";"1"
"520";"1"
"521";"0"
"522";"1"
"523";"0"
"524";"1"
"525";"1"
"526";"1"
"527";"1"
"528";"1"
"529";"1"
"530";"1"
"531";"1"
"532";"1"
"533";"1"
"534";"1"
"535";"1"
"536";"0"
"537";"1"
"538";"1"
"539";"1"
"540";"1"
"541";"0"
"542";"1"
"543";"0"
"544";"1"
"545";"1"
"546";"1"
"547";"0"
"548";"1"
"549";"1"
"550";"0"
"551";"0"
"552";"1"
"553";"0"
"554";"1"
"555";"1"
"556";"0"
"557";"1"
"558";"1"
"559";"1"
"560";"1"
"561";"0"
"562";"0"
"563";"1"
"564";"0"
"565";"1"
"566";"1"
"567";"1"
"568";"0"
"569";"1"
"570";"1"
"571";"0"
"572";"1"
"573";"0"
"574";"1"
"575";"1"
"576";"0"
"577";"1"
"578";"1"
"579";"1"
"580";"1"
"581";"0"
"582";"0"
"583";"0"
"584";"0"
"585";"0"
"586";"1"
"587";"1"
"588";"1"
"589";"0"
"590";"1"
"591";"0"
"592";"1"
"593";"0"
"594";"1"
"595";"1"
"596";"0"
"597";"0"
"598";"1"
"599";"1"
"600";"1"
"601";"1"
"602";"0"
"603";"1"
"604";"1"
"605";"0"
"606";"1"
"607";"1"
"608";"1"
"609";"1"
"610";"1"
"611";"1"
"612";"0"
"613";"1"
