"queryId";"usesLiterals"
"0";"1"
"1";"0"
"2";"1"
"3";"1"
"4";"1"
"5";"0"
"6";"1"
"7";"1"
"8";"0"
"9";"1"
"10";"1"
"11";"0"
"12";"0"
"13";"0"
"14";"1"
"15";"1"
"16";"0"
"17";"1"
"18";"0"
"19";"1"
"20";"1"
"21";"0"
"22";"0"
"23";"1"
"24";"0"
"25";"1"
"26";"1"
"27";"0"
"28";"1"
"29";"1"
"30";"0"
"31";"1"
"32";"0"
"33";"1"
"34";"1"
"35";"1"
"36";"0"
"37";"1"
"38";"1"
"39";"0"
"40";"0"
"41";"1"
"42";"1"
"43";"1"
"44";"1"
"45";"0"
"46";"0"
"47";"1"
"48";"0"
"49";"1"
"50";"1"
"51";"0"
"52";"1"
"53";"1"
"54";"1"
"55";"1"
"56";"0"
"57";"1"
"58";"1"
"59";"0"
"60";"1"
"61";"1"
"62";"0"
"63";"1"
"64";"1"
"65";"1"
"66";"1"
"67";"1"
"68";"1"
"69";"1"
"70";"1"
"71";"0"
"72";"1"
"73";"1"
"74";"1"
"75";"0"
"76";"1"
"77";"0"
"78";"1"
"79";"1"
"80";"1"
"81";"0"
"82";"1"
"83";"1"
"84";"0"
"85";"0"
"86";"1"
"87";"1"
"88";"0"
"89";"1"
"90";"1"
"91";"1"
"92";"1"
"93";"1"
"94";"0"
"95";"1"
"96";"1"
"97";"0"
"98";"1"
"99";"1"
"100";"0"
"101";"0"
"102";"1"
"103";"0"
"104";"1"
"105";"0"
"106";"1"
"107";"1"
"108";"1"
"109";"1"
"110";"0"
"111";"1"
"112";"0"
"113";"0"
"114";"1"
"115";"1"
"116";"1"
"117";"1"
"118";"0"
"119";"1"
"120";"0"
"121";"1"
"122";"0"
"123";"0"
"124";"1"
"125";"1"
"126";"1"
"127";"0"
"128";"1"
"129";"1"
"130";"1"
"131";"1"
"132";"0"
"133";"0"
"134";"0"
"135";"0"
"136";"1"
"137";"1"
"138";"1"
"139";"1"
"140";"0"
"141";"1"
"142";"0"
"143";"1"
"144";"1"
"145";"0"
"146";"0"
"147";"1"
"148";"0"
"149";"0"
"150";"0"
"151";"1"
"152";"0"
"153";"1"
"154";"0"
"155";"1"
"156";"1"
"157";"0"
"158";"1"
"159";"0"
"160";"1"
"161";"1"
"162";"1"
"163";"1"
"164";"0"
"165";"0"
"166";"0"
"167";"0"
"168";"1"
"169";"1"
"170";"1"
"171";"1"
"172";"0"
"173";"1"
"174";"1"
"175";"0"
"176";"0"
"177";"0"
"178";"1"
"179";"0"
"180";"1"
"181";"1"
"182";"0"
"183";"1"
"184";"1"
"185";"1"
"186";"1"
"187";"1"
"188";"0"
